   0  673 4384 2037_337.txt
   0  604 4124 2043_67.txt
   0  698 4346 2044_22.txt
   0  682 4323 2045_389.txt
   0  674 4186 2046_150.txt
   0  593 4037 2047_135.txt
   0  544 4048 2048_124.txt
   0  672 4121 2049_81.txt
   0  598 4067 2050_387.txt
   0  594 4196 2051_62.txt
   0  563 4320 2052_356.txt
   0  619 3860 2053_389.txt
   0  684 4157 2055_466.txt
   0  733 4336 2056_289.txt
   0  524 3993 2057_54.txt
   0  683 4250 2058_312.txt
   0  630 4391 2059_226.txt
   0  562 4062 2060_26.txt
   0  699 4358 2064_25.txt
   0  657 4181 2065_105.txt
   0  595 4175 2069_121.txt
   0  678 4179 2070_129.txt
   0  674 4451 2071_268.txt
   0  678 4365 2072_318.txt
   0  670 4138 2073_37.txt
   0  712 4220 2074_297.txt
   0  601 4240 2078_60.txt
   0  508 3761 2088_376.txt
   0  570 4081 2089_342.txt
   0  605 4055 2090_369.txt
   0  595 3969 2091_289.txt
   0  515 3783 2092_224.txt
   0  555 3877 2093_122.txt
   0  610 4005 2094_239.txt
   0  583 4096 2095_311.txt
   0  629 4190 2096_152.txt
   0  605 3911 2097_424.txt
   0  362 2906 2098_455.txt
   0  643 4182 2099_13.txt
   0  647 4106 2100_398.txt
   0  380 2880 2101_422.txt
   0  603 3760 2102_91.txt
   0  677 4573 2103_367.txt
   0  723 4781 2104_226.txt
   0  696 4841 2105_184.txt
   0  744 4980 2106_152.txt
   0  701 4693 2107_89.txt
   0  761 5004 2108_120.txt
   0  647 5127 2109_400.txt
   0  703 4779 2110_182.txt
   0  696 4549 2111_62.txt
